micro_market,zip_code,property_type,price_bucket,sqft_bucket,beds,baths,n_listings,median_dom_days,p75_dom_days,pct_fast_seller,observed_ratio
27407|single_family|na|1000-1500|3|2,27407,single_family,na,1000-1500,3,2,38,40.0,54.0,47.4,0.0
27104|single_family|na|2000-2500|4|3,27104,single_family,na,2000-2500,4,3,17,40.0,62.0,47.1,0.0
27265|single_family|na|1000-1500|3|1,27265,single_family,na,1000-1500,3,1,17,40.0,60.0,47.1,0.0
27403|single_family|na|1000-1500|3|1,27403,single_family,na,1000-1500,3,1,34,40.0,67.5,47.1,0.0
27107|single_family|na|1500-2000|3|2,27107,single_family,na,1500-2000,3,2,94,40.0,64.75,46.8,0.0
27106|single_family|na|1500-2000|3|2,27106,single_family,na,1500-2000,3,2,122,40.0,61.0,46.7,0.0
27107|single_family|na|1000-1500|3|2,27107,single_family,na,1000-1500,3,2,97,40.0,66.0,46.4,0.0
27127|single_family|na|1500-2000|4|2,27127,single_family,na,1500-2000,4,2,26,40.0,54.0,46.2,0.0
27260|single_family|na|1000-1500|3|2,27260,single_family,na,1000-1500,3,2,37,40.0,68.0,45.9,0.0
27403|single_family|na|500-1000|2|1,27403,single_family,na,500-1000,2,1,48,40.0,68.0,45.8,0.0
27106|single_family|na|3000-3500|4|3,27106,single_family,na,3000-3500,4,3,20,40.0,58.75,45.0,0.0
27455|single_family|na|1500-2000|3|2,27455,single_family,na,1500-2000,3,2,38,40.0,54.0,44.7,0.0
27104|townhome|na|1500-2000|2|2,27104,townhome,na,1500-2000,2,2,9,40.0,54.0,44.4,0.0
27265|single_family|na|3000-3500|4|3,27265,single_family,na,3000-3500,4,3,9,40.0,54.0,44.4,0.0
27455|single_family|na|1000-1500|3|1,27455,single_family,na,1000-1500,3,1,9,40.0,61.0,44.4,0.0
27455|single_family|na|1000-1500|3|2,27455,single_family,na,1000-1500,3,2,36,40.0,62.5,44.4,0.0
27101|single_family|na|1500-2000|3|2,27101,single_family,na,1500-2000,3,2,34,40.0,52.0,44.1,0.0
27127|single_family|na|1000-1500|3|1,27127,single_family,na,1000-1500,3,1,59,40.0,63.5,44.1,0.0
27104|single_family|na|1000-1500|3|1,27104,single_family,na,1000-1500,3,1,25,40.0,75.0,44.0,0.0
27105|single_family|na|1500-2000|3|2,27105,single_family,na,1500-2000,3,2,50,40.0,61.0,44.0,0.0
27127|single_family|na|1000-1500|2|1,27127,single_family,na,1000-1500,2,1,25,40.0,61.0,44.0,0.0
27104|single_family|na|1500-2000|3|2,27104,single_family,na,1500-2000,3,2,69,40.0,61.0,43.5,0.0
27409|single_family|na|1500-2000|3|2,27409,single_family,na,1500-2000,3,2,23,40.0,65.5,43.5,0.0
27105|single_family|na|1000-1500|3|1,27105,single_family,na,1000-1500,3,1,106,40.0,64.0,43.4,0.0
27103|single_family|na|1000-1500|3|2,27103,single_family,na,1000-1500,3,2,121,40.0,58.0,43.0,0.0
27101|single_family|na|1000-1500|3|2,27101,single_family,na,1000-1500,3,2,42,40.0,61.0,42.9,0.0
